『送信先』 広瀬康一,『メール内容』 T社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 広瀬康一,『メール内容』 P社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 岸部露伴,『メール内容』 N社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 虹村億康,『メール内容』 M社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 ジャンピエール・ポルナレフ,『メール内容』 L社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 花京院典明,『メール内容』 K社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 ディオ・ブランドー,『メール内容』 D社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 孫悟空,『メール内容』 S社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 ベジータ,『メール内容』 S社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 ベジータ,『メール内容』 BD社のプレゼン資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年04月14日 12時
『送信先』 東方仗助,『メール内容』 T社の案件資料をまとめておいてください。よろしくお願いします。,『送信日』 2021年05月06日 12時
『送信先』 ミドラー,『メール内容』 a,『送信日』 2021年05月07日 12時
『送信先』 東方仗助,『メール内容』 本日残業2時間お願いします。,『送信日』 2021年05月10日 12時
『送信先』 東方仗助,『メール内容』 こんにちは！！,『送信日』 2021年05月13日 12時
『送信先』 東方仗助,『メール内容』 こんにちは！！,『送信日』 2021年05月13日 12時
